Wed Sep  9 22:49:15 UTC 2026
 22:49:15 up 19 min,  0 users,  load average: 0.89, 0.70, 0.53
    PID %CPU COMMAND
      1  0.3 systemd
     11  0.1 kworker/u32:0-ext4-rsv-conversion
    629  0.1 snapd
      2  0.0 kthreadd
      3  0.0 pool_workqueue_release
      4  0.0 kworker/R-rcu_g
      5  0.0 kworker/R-rcu_p
      6  0.0 kworker/R-slub_
      7  0.0 kworker/R-netns
     10  0.0 kworker/0:0H-events_highpri
     12  0.0 kworker/R-mm_pe
     13  0.0 rcu_tasks_rude_kthread
     14  0.0 rcu_tasks_trace_kthread
     15  0.0 ksoftirqd/0
     16  0.0 rcu_sched
     17  0.0 migration/0
     18  0.0 idle_inject/0
     19  0.0 cpuhp/0
     20  0.0 cpuhp/1
