budget	roster	scenario	pid	scenario_ticks	samples	repetitions	nav_p50_ns	nav_p95_ns	nav_max_ns	search_p95_ns	search_max_ns	steering_p95_ns	steering_max_ns	route_p50_ticks	route_p95_ticks	route_max_ticks	queue_pops	settled_pops	completed	failed	illegal	goal_restarts	danger_restarts	superseded	oldest_age	max_wait	steering_calls	steering_ns_per_call	inflation_p95_pct	inflation_max_pct	schedule_fingerprint	route_fingerprint
12288	16	first_goal_burst	97075	46	120	3	1483125	1724833	1859166	1722750	1854708	4167	7459	3	46	46	558056	381624	16	0	0	0	0	0	45	45	612	424	8.881784197001252e-14	8.881784197001252e-14	7454893959512892948	2133130530835031936
12288	16	moving_goal_12_tick_cadence	97085	82	120	2	1533167	1808833	2256833	1805542	2252958	7375	8792	2	35	46	1000424	686274	43	0	0	3	2	18	45	45	831	443	8.881784197001252e-14	8.881784197001252e-14	6159182114047973344	2537862550781283228
12288	16	stuck_replans	97095	53	120	3	2060417	2625792	3163709	2624417	3160084	6959	12041	8	27	29	640128	491201	28	0	0	3	1	33	28	52	1335	403	4.440892098500626e-14	4.440892098500626e-14	11605086291312239834	11146556918732099535
12288	32	first_goal_burst	97113	91	120	2	1478167	1767583	1933250	1762333	1925542	8125	18792	5	86	91	1116112	763248	32	0	0	0	0	0	90	90	1283	413	8.881784197001252e-14	8.881784197001252e-14	2378569001203051884	3340291117028989600
12288	32	moving_goal_12_tick_cadence	97123	127	120	1	1533209	2037500	2298417	2029375	2290084	10500	20875	4	70	91	1558480	1069313	82	0	0	3	2	43	90	90	1493	435	8.881784197001252e-14	8.881784197001252e-14	4360583333608890871	17009830014428587517
12288	32	stuck_replans	97141	81	120	2	2087791	2531666	2759417	2515917	2748917	12875	24500	18	53	57	985344	753665	44	0	0	3	1	81	56	80	2772	396	4.440892098500626e-14	4.440892098500626e-14	6530069086917499418	9049114305376799439
16384	16	first_goal_burst	97151	35	120	4	1992166	2472334	3020875	2467084	3013041	6667	9542	2	35	35	558056	381624	16	0	0	0	0	0	34	34	580	473	8.881784197001252e-14	8.881784197001252e-14	2210380669675450414	2133130530835031936
16384	16	moving_goal_12_tick_cadence	97169	71	120	2	1965292	2419833	2663250	2419083	2662042	5792	9666	2	26	35	1147880	785743	44	0	0	3	2	17	34	34	812	435	8.881784197001252e-14	8.881784197001252e-14	70209974742336175	7752798017420580799
16384	16	stuck_replans	97179	46	120	3	2854917	3045209	3221125	3039084	3211292	6459	10667	7	20	22	738432	564476	33	0	0	3	1	28	21	45	1348	390	4.440892098500626e-14	4.440892098500626e-14	17574813805453887159	15752633924695883552
16384	32	first_goal_burst	97197	69	120	2	1989000	2313417	2517084	2306958	2511000	7750	22042	4	65	69	1116112	763248	32	0	0	0	0	0	68	68	1192	438	8.881784197001252e-14	8.881784197001252e-14	12828797117540172976	3340291117028989600
16384	32	moving_goal_12_tick_cadence	97207	105	120	2	1997958	2656208	3226250	2649958	3217875	10375	24708	3	52	69	1705936	1170744	84	0	0	3	2	41	68	68	1523	445	8.881784197001252e-14	8.881784197001252e-14	10199836290508414541	11800543213511740063
16384	32	stuck_replans	97233	67	120	2	2889916	3164042	3486500	3151917	3476208	14167	19042	11	40	43	1083648	826940	49	0	0	3	1	76	42	66	2691	400	4.440892098500626e-14	4.440892098500626e-14	2784059763429574965	10672411389303937120
20480	16	first_goal_burst	97243	28	120	5	2559625	3051958	3573917	3048708	3571292	4792	9667	2	28	28	558056	381624	16	0	0	0	0	0	27	27	570	463	8.881784197001252e-14	8.881784197001252e-14	1998589373639804552	2133130530835031936
20480	16	moving_goal_12_tick_cadence	97263	64	120	2	2680042	3058000	3296333	3054584	3291333	8208	9791	2	21	28	1295336	887276	47	0	0	3	2	14	27	27	769	517	8.881784197001252e-14	8.881784197001252e-14	10790611335076336481	13620999561987877423
20480	16	stuck_replans	97275	41	120	3	3532541	3664792	4368292	3652542	4363875	8750	12666	6	16	17	836736	639475	36	0	0	3	1	25	16	40	1323	462	4.440892098500626e-14	4.440892098500626e-14	9069755026291293440	9372427209515514531
20480	32	first_goal_burst	97294	55	120	3	2680208	3391208	3749083	3383333	3744708	10166	30542	3	52	55	1116112	763248	32	0	0	0	0	0	54	54	1157	532	8.881784197001252e-14	8.881784197001252e-14	13691967234674581858	3340291117028989600
20480	32	moving_goal_12_tick_cadence	97319	91	120	2	2591834	3045125	3620167	3035458	3612167	15041	27334	2	42	55	1853392	1269878	85	0	0	3	2	40	54	54	1591	479	8.881784197001252e-14	8.881784197001252e-14	12035628563660881835	14288202713360087685
20480	32	stuck_replans	97338	58	120	3	3568459	3655208	4073125	3639584	4057666	16375	29083	8	32	34	1181952	901939	52	0	0	3	1	73	33	57	2586	437	4.440892098500626e-14	4.440892098500626e-14	802846908810450862	4699206893992267171
